Wavecontrol MonitEM data
Date: 08/26/2021 07:59:23
MonitEM Serial: 13MT0276
Probe serial: 13WP040321
Frecuencies: 100kHz-8GHz
Units: V/m
Date,Time,Value,GPGGA,gps_time,lat,N/S,lon,E/O,fix,number_satellites,diution,height,M,geoid_height,M,,*CRC,GPGSA,A,3D_fix,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PRN,PDOP,HDOP,VDOP*CRC
2021/08/26,07:13:42,0.59,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:43,0.72,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:44,0.72,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:45,0.73,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:46,0.76,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:47,0.68,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:48,0.69,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:49,0.70,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:50,0.68,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:51,0.76,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:52,0.87,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:53,0.81,$GPGGA,101356.2,,,,,0,,,,,,,,*7A,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:54,0.70,$GPGGA,101357.2,,,,,0,,,,,,,,*7B,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:55,0.66,$GPGGA,101358.2,,,,,0,,,,,,,,*74,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:56,0.65,$GPGGA,101359.2,,,,,0,,,,,,,,*75,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:57,0.64,$GPGGA,101400.2,,,,,0,,,,,,,,*7E,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:58,0.63,$GPGGA,101401.2,,,,,0,,,,,,,,*7F,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:13:59,0.66,$GPGGA,101402.2,,,,,0,,,,,,,,*7C,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:00,0.64,$GPGGA,101403.2,,,,,0,,,,,,,,*7D,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:01,0.81,$GPGGA,101404.2,,,,,0,,,,,,,,*7A,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:02,0.65,$GPGGA,101405.2,,,,,0,,,,,,,,*7B,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:03,0.68,$GPGGA,101406.2,,,,,0,,,,,,,,*78,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:04,0.59,$GPGGA,101407.2,,,,,0,,,,,,,,*79,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:05,0.65,$GPGGA,101408.2,,,,,0,,,,,,,,*76,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:06,0.64,$GPGGA,101409.2,,,,,0,,,,,,,,*77,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:07,0.58,$GPGGA,101410.2,,,,,0,,,,,,,,*7F,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:08,0.60,$GPGGA,101411.2,,,,,0,,,,,,,,*7E,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:09,0.60,$GPGGA,101412.2,,,,,0,,,,,,,,*7D,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:10,0.58,$GPGGA,101413.2,,,,,0,,,,,,,,*7C,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:11,0.62,$GPGGA,101414.2,,,,,0,,,,,,,,*7B,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:12,0.51,$GPGGA,101415.2,,,,,0,,,,,,,,*7A,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:13,0.58,$GPGGA,101416.2,,,,,0,,,,,,,,*79,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:14,0.58,$GPGGA,101417.2,,,,,0,,,,,,,,*78,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:15,0.57,$GPGGA,101418.2,,,,,0,,,,,,,,*77,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:16,0.58,$GPGGA,101419.2,,,,,0,,,,,,,,*76,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:17,0.68,$GPGGA,101420.2,,,,,0,,,,,,,,*7C,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:18,0.64,$GPGGA,101420.5,,,,,0,,,,,,,,*7B,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:19,0.62,$GPGGA,101421.2,,,,,0,,,,,,,,*7D,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:20,0.58,$GPGGA,101422.0,,,,,0,,,,,,,,*7C,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:21,0.60,$GPGGA,101423.0,,,,,0,,,,,,,,*7D,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:14:22,0.59,$GPGGA,101424.0,,,,,0,,,,,,,,*7A,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:04,0.61,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:05,0.71,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:06,0.65,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:07,0.84,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:08,0.84,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:09,0.55,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:10,0.70,$GPGGA,,,,,,0,,,,,,,,*66,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:11,0.73,$GPGGA,101513.2,,,,,0,,,,,,,,*7D,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:12,0.51,$GPGGA,101514.0,,,,,0,,,,,,,,*78,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:13,0.54,$GPGGA,101515.0,,,,,0,,,,,,,,*79,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:14,0.54,$GPGGA,101516.0,,,,,0,,,,,,,,*7A,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:15,0.48,$GPGGA,101517.0,,,,,0,,,,,,,,*7B,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:16,0.50,$GPGGA,101518.0,,,,,0,,,,,,,,*74,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:17,0.50,$GPGGA,101519.0,,,,,0,,,,,,,,*75,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:18,0.52,$GPGGA,101520.0,,,,,0,,,,,,,,*7F,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:19,0.44,$GPGGA,101521.0,,,,,0,,,,,,,,*7E,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:20,0.47,$GPGGA,101522.0,,,,,0,,,,,,,,*7D,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:21,0.51,$GPGGA,101523.0,,,,,0,,,,,,,,*7C,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:22,0.52,$GPGGA,101524.0,,,,,0,,,,,,,,*7B,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:23,0.48,$GPGGA,101525.0,,,,,0,,,,,,,,*7A,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:24,0.50,$GPGGA,101526.0,,,,,0,,,,,,,,*79,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:25,0.48,$GPGGA,101527.0,,,,,0,,,,,,,,*78,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:26,0.59,$GPGGA,101528.0,,,,,0,,,,,,,,*77,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:27,0.47,$GPGGA,101529.0,,,,,0,,,,,,,,*76,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:28,0.56,$GPGGA,101530.0,,,,,0,,,,,,,,*7E,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:29,0.49,$GPGGA,101531.0,,,,,0,,,,,,,,*7F,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:30,0.56,$GPGGA,101532.0,,,,,0,,,,,,,,*7C,$GPGSA,A,1,,,,,,,,,,,,,,,*1E
2021/08/26,07:15:31,0.49,$GPGGA,101533.0,0552.814075,S,03512.927051,W,1,08,1.1,53.7,M,0.0,M,,*5F,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:32,0.57,$GPGGA,101534.0,0552.813991,S,03512.927201,W,1,08,1.1,55.3,M,0.0,M,,*59,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:33,0.59,$GPGGA,101535.0,0552.813799,S,03512.927465,W,1,08,1.1,57.2,M,0.0,M,,*59,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:34,0.52,$GPGGA,101536.0,0552.813569,S,03512.927787,W,1,08,1.1,58.4,M,0.0,M,,*51,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:35,0.52,$GPGGA,101537.0,0552.813429,S,03512.927989,W,1,08,1.1,59.3,M,0.0,M,,*53,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:36,0.54,$GPGGA,101538.0,0552.813347,S,03512.928122,W,1,08,1.1,59.6,M,0.0,M,,*50,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:37,0.45,$GPGGA,101539.0,0552.813302,S,03512.928158,W,1,08,1.1,59.9,M,0.0,M,,*52,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:38,0.53,$GPGGA,101540.0,0552.813262,S,03512.928148,W,1,08,1.1,60.3,M,0.0,M,,*5A,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:39,0.53,$GPGGA,101541.0,0552.813259,S,03512.928205,W,1,08,1.1,60.6,M,0.0,M,,*5C,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:40,0.55,$GPGGA,101542.0,0552.813244,S,03512.928250,W,1,08,1.1,60.8,M,0.0,M,,*5D,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:41,0.52,$GPGGA,101543.0,0552.813229,S,03512.928275,W,1,08,1.1,60.8,M,0.0,M,,*50,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:42,0.72,$GPGGA,101544.0,0552.813224,S,03512.928290,W,1,08,1.1,60.9,M,0.0,M,,*50,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:43,0.52,$GPGGA,101545.0,0552.813226,S,03512.928301,W,1,08,1.1,60.9,M,0.0,M,,*5A,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:44,0.51,$GPGGA,101546.0,0552.813229,S,03512.928308,W,1,08,1.1,60.9,M,0.0,M,,*5F,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:45,0.50,$GPGGA,101547.0,0552.813231,S,03512.928314,W,1,08,1.1,60.9,M,0.0,M,,*5A,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:46,0.53,$GPGGA,101548.0,0552.813325,S,03512.928402,W,1,08,1.1,60.9,M,0.0,M,,*51,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:47,0.46,$GPGGA,101549.0,0552.813391,S,03512.928584,W,1,08,1.1,61.0,M,0.0,M,,*58,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,2.0,1.1,1.7*32
2021/08/26,07:15:48,0.50,$GPGGA,101550.0,0552.813381,S,03512.928852,W,1,08,1.1,61.2,M,0.0,M,,*55,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,2.0,1.1,1.7*32
2021/08/26,07:15:49,0.33,$GPGGA,101551.0,0552.813561,S,03512.929194,W,1,08,1.1,60.8,M,0.0,M,,*55,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:50,0.28,$GPGGA,101552.0,0552.813924,S,03512.929717,W,1,08,1.1,60.3,M,0.0,M,,*5D,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:51,0.33,$GPGGA,101553.0,0552.814669,S,03512.930363,W,1,08,1.1,59.8,M,0.0,M,,*53,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:52,0.32,$GPGGA,101554.0,0552.815408,S,03512.930962,W,1,08,1.1,59.6,M,0.0,M,,*55,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:53,0.29,$GPGGA,101555.0,0552.816267,S,03512.931286,W,1,08,1.1,58.8,M,0.0,M,,*57,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:54,0.34,$GPGGA,101556.0,0552.817086,S,03512.931447,W,1,08,1.1,58.4,M,0.0,M,,*5F,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:55,0.33,$GPGGA,101557.0,0552.817494,S,03512.931286,W,1,08,1.1,59.0,M,0.0,M,,*57,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:56,0.46,$GPGGA,101558.0,0552.817598,S,03512.930577,W,1,08,1.1,59.3,M,0.0,M,,*5E,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:57,0.37,$GPGGA,101559.0,0552.817550,S,03512.929553,W,1,08,1.1,59.6,M,0.0,M,,*50,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:58,0.27,$GPGGA,101600.0,0552.817149,S,03512.928495,W,1,08,1.1,60.2,M,0.0,M,,*57,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:15:59,0.31,$GPGGA,101601.0,0552.816810,S,03512.927340,W,1,08,1.1,60.3,M,0.0,M,,*53,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:16:00,0.31,$GPGGA,101602.0,0552.816354,S,03512.926264,W,1,08,1.1,60.1,M,0.0,M,,*5F,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:16:01,0.31,$GPGGA,101603.0,0552.815920,S,03512.925138,W,1,08,1.1,59.5,M,0.0,M,,*53,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:16:02,0.32,$GPGGA,101604.0,0552.815490,S,03512.924388,W,1,08,1.1,59.1,M,0.0,M,,*5E,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:16:03,0.34,$GPGGA,101605.0,0552.815136,S,03512.923832,W,1,08,1.1,58.5,M,0.0,M,,*5E,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:16:04,0.35,$GPGGA,101606.0,0552.815015,S,03512.923607,W,1,08,1.1,58.5,M,0.0,M,,*55,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
2021/08/26,07:16:05,0.38,$GPGGA,101607.0,0552.814993,S,03512.923095,W,1,08,1.2,58.4,M,0.0,M,,*5D,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.2,1.5*39
2021/08/26,07:16:06,0.31,$GPGGA,101608.0,0552.815021,S,03512.922569,W,1,08,1.2,58.5,M,0.0,M,,*55,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.2,1.5*39
2021/08/26,07:16:07,0.28,$GPGGA,101609.0,0552.815049,S,03512.922196,W,1,08,1.1,58.6,M,0.0,M,,*5E,$GPGSA,A,3,01,03,04,14,16,21,22,30,,,,,1.9,1.1,1.5*3A
